키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
믹서기,47200,12600,34600,높음,15.1,급하락,19.6|22.6|24.8|28.2|41.9|32.4|16.7|14.7|20.2|13.5|15.4|14.8|15.1
냉장고,179100,49200,129900,중간,56.5,급하락,75.4|87.2|99.4|100|98.5|87.9|62.4|60.0|68.6|56.2|59.1|55.9|56.5
김치냉장고,86000,13600,72400,중간,27.1,급하락,34.2|36.3|39.3|38.2|34.7|43.8|60.8|45.4|28.1|25.4|24.9|23.9|27.1
데스크탑,25400,10400,15000,높음,8.9,상승,11.4|9.9|8.9|21.7|34.6|27.2|11.0|11.2|17.5|12.5|12.9|10.1|8.9
마우스,60500,23600,36900,높음,20.4,유지,20.2|22.2|25.8|34.6|48.1|38.9|22.2|27.0|36.5|26.5|25.0|21.2|20.4
모니터,57700,29800,27900,중간,24.3,유지,26.9|26.9|32.3|39.7|54.2|45.8|31.6|34.5|41.9|30.0|30.5|28.0|24.3
컴퓨터 주변기기,400,110,290,높음,0.1,유지,0.1|0.1|0.1|0.1|0.1|0.1|0.2|0.1|0.2|0.1|0.1|0.1|0.1
키보드,110000,50400,59600,높음,40.2,급상승,39.1|41.9|48.0|59.4|74.2|64.0|50.1|74.7|100|75.8|59.7|57.4|40.2
인덕션,89400,21100,68300,중간,35.3,하락,39.0|39.8|47.0|63.6|42.1|44.8|39.9|41.4|46.2|38.4|39.4|34.1|35.3
하이라이트,31260,5560,25700,높음,12.1,급하락,35.1|25.8|22.6|19.1|19.4|20.2|15.6|16.9|15.8|17.0|15.3|13.1|12.1
전기그릴,12880,2480,10400,중간,13.6,유지,16.6|13.9|12.9|14.6|17.8|15.1|12.8|16.3|16.0|19.5|14.7|13.4|13.6
팬,6950,1460,5490,높음,6.8,급하락,9.0|8.9|9.9|9.3|8.5|8.0|7.3|7.0|6.9|5.9|6.8|6.7|6.8
전기밥솥,21220,4120,17100,높음,19.4,하락,24.1|25.7|29.0|32.3|27.2|32.0|28.5|29.7|31.1|25.2|24.5|20.3|19.4
전기주전자,10760,4750,6010,높음,10.6,급상승,7.6|6.9|5.9|29.1|60.5|53.9|15.7|15.6|19.7|15.2|17.6|13.4|10.6
전기포트,28600,10000,18600,높음,28.1,상승,31.6|28.3|35.4|79.9|100|83.6|45.1|49.6|64.2|48.6|42.2|33.4|28.1
전자레인지,93200,20400,72800,중간,47.5,하락,55.9|57.9|60.8|79.6|100|86.6|64.0|68.3|80.8|69.3|66.7|52.4|47.5
제빙기,63100,24700,38400,중간,31.4,급하락,46.9|53.2|57.0|30.8|21.4|18.1|17.1|12.3|10.4|12.3|20.8|26.6|31.4
커피 액세서리,10,5,5,높음,,,
커피머신,61500,12900,48600,높음,39.9,하락,48.5|46.9|48.3|59.4|43.9|45.9|45.8|48.1|49.4|44.3|45.5|41.0|39.9
커피메이커,11700,5240,6460,높음,6.6,급상승,5.1|4.8|4.1|17.3|35.6|30.8|8.1|7.9|11.0|8.8|10.4|7.9|6.6
토스트기,16180,3480,12700,중간,57.0,급하락,86.7|100|74.7|84.9|78.6|71.2|67.7|77.4|87.6|61.9|74.2|61.9|57.0
튀김기,6260,1450,4810,중간,27.4,급하락,51.1|48.4|45.5|48.3|55.1|48.7|48.0|45.7|48.5|36.3|34.7|30.9|27.4
카메라 액세서리,60,10,50,높음,0.1,급상승,0.0|0.1|0.2|0.2|0.3|0.2|0.2|0.3|0.3|0.3|0.1
캠코더,9500,1580,7920,높음,40.7,하락,41.0|38.1|42.3|42.1|36.1|31.9|37.3|36.6|36.9|32.0|41.5|28.9|40.7
DSLR,3270,1050,2220,중간,16.4,급하락,25.5|23.3|22.4|23.0|22.7|20.3|19.6|19.2|20.8|17.6|21.1|19.0|16.4
노트북,220500,66500,154000,중간,50.6,유지,57.0|60.3|60.8|68.6|80.1|71.4|61.5|71.2|100|80.6|73.2|58.1|50.6
태블릿PC,25840,8440,17400,높음,8.3,하락,12.8|11.4|11.3|13.4|13.4|12.7|9.7|10.0|11.5|9.6|11.5|9.5|8.3
프린터,27100,12500,14600,높음,8.3,하락,9.9|10.4|9.6|16.2|28.7|22.2|9.0|9.1|13.2|8.4|10.4|8.4|8.3
휴대용 선풍기,81300,18400,62900,중간,21.7,급하락,19.4|29.4|41.2|13.6|3.8|1.3|0.8|0.8|1.1|1.2|3.2|12.6|21.7
카메라,31000,10300,20700,중간,10.2,하락,14.2|12.6|11.7|19.5|33.2|25.7|10.9|10.9|13.7|10.4|11.6|11.0|10.2
다리미,25480,5480,20000,중간,7.9,하락,9.4|8.8|8.1|7.3|7.9|7.2|5.3|4.2|4.3|4.1|6.4|7.8|7.9
음식물처리기,199300,36800,162500,높음,59.8,급하락,67.7|89.9|100|74.3|55.6|53.2|43.9|41.6|48.4|49.2|49.3|46.7|59.8
기내용캐리어,37400,6200,31200,높음,12.0,급하락,27.8|23.1|24.3|27.8|23.4|18.5|18.3|18.0|17.8|13.5|14.2|11.9|12.0
여행용파우치,7950,1820,6130,높음,2.6,급하락,4.4|3.8|4.3|4.5|3.3|3.1|3.7|3.5|3.9|3.3|3.0|2.6|2.6
남성가방,5160,940,4220,높음,1.6,급하락,3.6|3.5|3.4|3.4|1.8|1.4|1.3|1.5|1.6|1.3|1.6|1.5|1.6
쇼퍼백,10400,1390,9010,중간,10.5,하락,13.9|14.1|13.5|14.9|14.5|12.2|10.7|11.4|13.9|13.7|15.2|11.7|10.5
스트랩,14800,2900,11900,중간,14.9,급하락,23.4|23.1|25.3|23.4|20.8|17.9|17.3|18.3|17.9|14.0|16.0|14.8|14.9
캔버스,18670,4970,13700,중간,19.0,하락,24.4|22.4|21.0|20.5|22.9|22.5|22.9|24.5|22.6|18.5|23.6|20.9|19.0
에코백,71800,11300,60500,높음,66.5,급하락,92.9|97.6|100|95.7|80.2|64.1|44.6|40.4|44.0|48.0|66.2|67.6|66.5
골프그립,13670,2570,11100,높음,14.8,하락,18.4|16.9|16.9|20.5|19.7|16.7|16.3|14.1|13.3|13.7|16.3|15.4|14.8
샤프트,7860,2000,5860,중간,10.3,하락,10.4|10.0|10.2|10.0|10.4|8.9|8.3|7.7|7.9|6.7|8.3|9.3|10.3
골프우산,10060,1990,8070,중간,12.2,급하락,16.4|20.5|23.8|16.7|14.5|9.7|3.3|3.9|2.4|2.6|6.4|8.8|12.2
로스트볼,27830,6630,21200,높음,32.4,급하락,66.3|42.4|32.8|37.0|40.2|41.9|37.4|21.3|17.1|19.1|29.5|30.9|32.4
캐디백,7370,1550,5820,중간,8.8,급하락,18.0|16.7|17.1|17.7|16.5|15.1|11.5|9.6|9.5|7.4|9.7|9.4|8.8
케이스,19130,5930,13200,중간,19.7,유지,24.6|23.5|25.2|52.9|100|77.6|26.3|24.9|33.2|23.7|28.8|21.6|19.7
하프백,1600,330,1270,중간,3.6,급하락,8.2|7.4|6.7|7.0|6.6|6.7|4.8|3.9|3.1|2.7|4.0|3.7|3.6
거리측정기,26800,5200,21600,높음,58.5,급하락,100|95.0|96.0|90.5|86.4|79.8|60.2|44.4|40.9|41.1|57.8|57.8|58.5
거리측정기케이스,6650,1090,5560,중간,14.0,급하락,22.1|19.7|18.8|19.4|20.5|18.1|11.9|8.1|4.6|5.4|10.8|13.3|14.0
골프공,32870,8170,24700,중간,70.5,급하락,88.0|90.3|82.4|77.1|82.8|77.6|68.6|44.1|32.9|39.6|63.4|69.3|70.5
골프가방,7870,1360,6510,높음,18.6,급하락,29.9|28.1|25.7|27.2|28.1|25.6|19.3|15.8|15.9|15.5|20.6|19.7|18.6
골프백세트,280,60,220,높음,6.8,하락,7.2|9.7|9.7|10.8|9.8|10.5|5.2|2.2|3.5|6.2|9.4|9.2|6.8
골프화가방,1140,180,960,중간,37.1,하락,51.8|46.4|40.5|42.2|47.2|39.5|32.8|23.0|25.4|27.1|44.5|39.5|37.1
스탠드백,910,200,710,중간,30.5,급하락,59.5|56.2|100|56.5|65.2|47.3|38.5|33.8|32.2|25.2|31.3|31.7|30.5
페어웨이우드,1160,250,910,중간,38.2,급하락,55.5|54.9|50.4|65.2|49.5|50.8|38.7|31.8|33.5|27.8|37.6|34.1|38.2
공용골프화,10,5,5,높음,,,
남성골프화,20650,3750,16900,높음,98.6,상승,100|90.1|86.5|93.4|97.1|90.3|65.8|53.5|57.2|71.6|97.7|99.2|98.6
스파이크,3240,560,2680,중간,14.1,하락,18.3|16.8|14.4|14.2|14.5|13.3|13.4|17.3|17.8|12.5|14.0|13.5|14.1
렌치,7720,1870,5850,높음,33.5,하락,47.8|43.3|49.0|51.6|45.9|44.7|43.6|42.3|44.5|36.7|42.1|37.9|33.5
여성골프화,12170,1470,10700,높음,54.1,하락,65.3|61.3|54.0|60.6|66.0|57.5|41.4|28.8|31.3|36.4|55.3|57.5|54.1
골프클럽세트,200,40,160,높음,0.7,하락,1.2|1.1|1.0|1.5|1.7|2.0|1.3|1.4|1.1|0.9|1.0|1.0|0.7
드라이버,17330,4230,13100,중간,23.1,급하락,34.9|32.2|32.2|33.5|29.4|27.0|26.3|25.6|25.5|21.4|25.2|24.0|23.1
시타클럽,40,10,30,높음,0.0,급하락,0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
아이언,23270,2970,20300,높음,48.6,급상승,22.7|21.1|23.7|25.4|25.3|26.6|19.9|19.3|100|58.9|30.6|24.9|48.6
웨지,5690,1190,4500,중간,7.6,급하락,11.1|10.2|9.5|9.2|8.6|8.2|6.9|6.2|6.3|6.1|7.7|8.1|7.6
유틸리티우드,310,50,260,높음,0.4,급하락,0.7|0.5|0.5|0.6|0.6|0.6|0.5|0.3|0.3|0.2|0.4|0.4|0.4
파크골프클럽,560,130,430,중간,2.6,급상승,2.5|2.5|1.4|2.0|2.3|3.3|6.1|2.5|2.4|1.9|2.6|2.5|2.6
퍼터,12460,2600,9860,높음,57.4,급하락,100|91.1|82.4|90.8|78.6|73.5|58.2|48.1|46.2|44.3|56.3|58.2|57.4
자외선차단,3240,680,2560,높음,12.5,급하락,13.1|15.2|15.0|7.1|3.5|2.7|3.1|2.1|2.8|3.5|5.6|9.7|12.5
냉감용품,120,60,60,높음,0.1,급하락,0.2|1.5|0.2|0.0|0.1
클럽커버,100,30,70,높음,0.1,급하락,0.6|0.8|0.7|0.7|0.9|0.8|0.6|0.4|0.2|0.2|0.5|0.1|0.1
파크골프용품,6600,1130,5470,중간,86.9,유지,93.0|80.9|66.0|67.5|81.9|84.7|91.9|89.6|92.2|79.5|80.3|73.3|86.9
필드용품,80,20,60,높음,0.3,급하락,6.8|1.2|0.6|0.3|0.5|0.2|0.3|0.1|0.4|0.7|0.3
항공커버,1350,380,970,높음,18.7,급하락,80.1|57.5|58.5|50.5|86.6|97.7|100|67.8|52.6|30.4|29.3|21.8|18.7
볼케이스,610,110,500,중간,6.5,급하락,16.1|13.6|10.0|11.2|11.4|9.9|7.3|3.1|1.7|3.5|7.6|7.5|6.5
연습용품,10,5,5,높음,0.1,유지,0.6|0.1
우비,22620,4920,17700,높음,43.2,급하락,74.9|100|70.7|37.6|53.2|48.6|21.1|20.1|14.8|14.9|24.5|32.3|43.2
기능성의류,400,60,340,높음,0.5,하락,0.8|0.6|0.8|0.6|0.5|0.6|0.6|0.6|0.6|0.4|0.8|0.6|0.5
레인웨어,200,60,140,높음,0.2,급하락,0.3|0.9|0.1|0.0|0.1|0.1|0.0|0.0|0.0|0.1|0.2
데님셔츠,5680,2270,3410,높음,10.9,급상승,15.4|10.2|7.4|17.5|35.4|26.3|6.5|5.2|6.1|10.3|30.5|30.1|10.9
맨투맨티셔츠,310,50,260,중간,0.7,급상승,2.9|0.9|0.7|1.9|8.1|16.3|12.2|8.5|7.5|4.4|4.3|2.4|0.7
후드티셔츠,230,50,180,높음,0.6,급상승,1.4|0.6|0.4|1.3|4.7|8.6|7.6|5.5|3.9|3.3|4.8|2.2|0.6
사파리,14870,5220,9650,높음,50.0,하락,66.9|61.6|55.4|62.3|67.4|65.0|62.3|63.5|61.7|54.2|59.8|53.7|50.0
항공점퍼,1600,270,1330,높음,9.9,급상승,17.2|6.3|7.0|13.8|37.4|97.1|100|62.5|52.2|56.8|74.1|29.5|9.9
야상점퍼,550,80,470,높음,5.3,급상승,7.4|2.3|2.4|6.7|20.3|41.8|35.8|21.4|20.2|25.9|48.4|20.0|5.3
가죽,3960,940,3020,높음,15.7,상승,21.8|15.6|15.2|16.9|18.1|18.6|17.3|16.9|16.9|17.1|19.7|23.4|15.7
브리프,3610,750,2860,높음,5.7,급하락,8.5|7.5|8.9|8.7|8.3|7.1|5.6|5.5|5.7|5.2|6.2|5.8|5.7
트렁크,11490,1570,9920,높음,22.2,급하락,46.8|40.2|47.2|57.5|37.3|36.7|26.9|35.0|67.9|100|36.6|22.2|22.2
드로즈,4750,790,3960,중간,7.3,급하락,13.0|13.4|16.6|15.8|12.4|11.5|10.4|9.6|10.0|8.0|7.4|6.8|7.3
긴팔드레스셔츠,10,5,5,높음,,,
긴팔캐쥬얼셔츠,10,5,5,낮음,,,
반팔드레스셔츠,240,60,180,높음,0.6,급하락,0.6|0.9|0.7|0.1|0.1|0.6
반팔캐쥬얼셔츠,10,5,5,높음,,,
캐주얼 셋업,80,20,60,높음,0.1,급하락,0.6|0.3|0.1|0.3|0.7|0.5|0.1|0.1|0.2|0.1|0.2|0.4|0.1
가구거울,15,5,10,높음,,,
가죽소파,14740,2540,12200,높음,64.6,급하락,80.2|85.6|90.6|100|90.6|96.0|67.6|68.1|93.0|73.7|71.1|61.2|64.6
슬랙스,15340,4240,11100,중간,13.6,급상승,16.9|14.2|12.9|12.1|15.6|15.8|12.9|11.7|11.1|10.7|20.1|21.8|13.6
정장상의,160,30,130,높음,0.1,하락,0.3|0.2|0.1|0.2|0.2|0.3|0.2|0.2|0.2|0.2|0.2|0.2|0.1
정장하의,15,5,10,높음,,,
유아의자,3240,510,2730,중간,2.8,하락,3.6|3.3|3.7|4.2|3.7|3.5|3.7|3.9|4.0|3.3|3.5|3.0|2.8
소파,55100,13800,41300,중간,46.7,하락,51.8|49.9|52.1|69.2|100|83.2|53.1|50.3|65.0|48.6|51.5|45.3|46.7
주방 수납장,27620,5020,22600,중간,14.9,유지,18.0|15.8|15.7|18.5|16.8|17.4|20.7|19.1|19.6|17.3|18.7|15.6|14.9
책상,60400,17200,43200,중간,30.4,유지,36.6|36.0|36.2|52.2|72.4|58.8|39.8|44.0|56.8|44.6|43.5|33.6|30.4
책장,45600,10900,34700,높음,23.7,하락,29.4|28.6|29.8|32.3|29.8|27.8|28.8|32.3|35.1|30.7|31.9|24.4|23.7
침대,100500,22000,78500,높음,50.8,하락,60.6|63.3|61.4|80.3|100|90.4|63.5|64.6|77.8|61.8|61.7|55.4|50.8
시스템 거실장,50,10,40,높음,0.0,급하락,0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0
식탁단품,15,5,10,낮음,0.0,유지,0.0
식탁세트,5780,980,4800,높음,8.8,하락,10.1|10.0|10.3|12.5|11.1|10.3|10.2|11.7|10.5|9.1|9.4|8.6|8.8
식탁의자,55260,7960,47300,높음,69.3,하락,81.1|92.6|89.8|100|86.6|78.8|76.0|82.8|91.4|77.7|86.8|68.7|69.3
아일랜드 식탁,30690,5690,25000,중간,41.6,하락,53.9|50.8|48.6|55.3|51.7|53.1|54.2|51.3|56.8|51.4|53.2|43.7|41.6
오피스의자,310,160,150,높음,0.4,유지,0.4|0.3|0.4|0.5|0.5|0.4|0.4|0.6|0.5|0.5|0.5|0.4|0.4
옷장,45030,9430,35600,높음,61.5,유지,75.4|69.5|66.9|70.7|71.5|80.0|82.3|80.3|84.9|74.3|79.7|63.8|61.5
옷장세트,440,80,360,중간,0.6,급상승,0.6|0.5|0.5|0.6|0.6|0.7|0.7|0.8|0.8|0.7|0.8|0.7|0.6
스툴,12760,3280,9480,중간,17.0,급하락,23.5|22.1|23.7|25.3|21.5|20.3|20.3|20.8|21.9|18.2|20.8|17.7|17.0
붙박이장,38440,7940,30500,높음,50.3,하락,68.8|64.1|63.7|63.2|62.8|63.7|70.3|64.0|68.1|55.7|60.4|51.6|50.3
서랍장,56500,10700,45800,중간,76.1,하락,95.4|100|91.3|94.1|89.2|93.6|94.6|92.5|97.9|86.9|95.7|79.0|76.1
서재 수납가구,10,5,5,낮음,,,
소파 악세사리,15,5,10,높음,0.0,유지,0.0
소파베드,16810,3710,13100,높음,48.7,하락,61.8|64.7|59.1|85.4|88.5|83.0|88.4|67.1|69.6|58.4|59.8|47.0|48.7
수납가구,1090,260,830,중간,3.1,급하락,25.3|20.2|18.2|18.2|4.8|3.0|3.5|4.1|4.4|3.4|3.9|3.2|3.1
거실장,24790,4690,20100,중간,72.8,하락,92.7|86.4|89.6|100|88.1|84.1|87.8|87.0|92.0|80.3|83.9|72.2|72.8
드레스룸,11730,2860,8870,중간,7.2,급하락,14.0|13.5|12.8|25.7|10.9|9.9|11.1|11.1|10.3|8.3|9.5|8.3|7.2
렌지대,4260,1260,3000,중간,2.8,하락,4.0|3.1|3.0|3.4|3.4|2.8|2.6|3.6|4.2|3.7|3.5|3.2|2.8
리클라이너,27410,4310,23100,중간,16.8,하락,17.1|17.2|22.9|28.5|20.2|20.6|16.4|28.7|20.3|19.2|20.7|14.5|16.8
매트리스,92900,22600,70300,높음,45.9,하락,60.5|62.5|61.0|78.2|100|87.9|57.0|57.9|70.1|58.5|56.5|49.7|45.9
벤치,11480,3060,8420,중간,6.3,하락,8.4|7.8|6.9|7.1|7.6|6.9|5.9|5.0|5.1|4.6|6.4|6.9|6.3
신발 정리대,8490,1100,7390,높음,25.4,급하락,35.4|38.6|41.6|43.2|42.5|36.4|36.1|38.9|33.6|28.8|39.7|24.9|25.4
신발장,24960,7060,17900,높음,68.2,급하락,100|98.4|95.8|86.0|84.8|78.7|82.1|79.0|81.4|70.9|84.3|69.1|68.2
원목 선반,4770,910,3860,중간,13.6,하락,18.1|16.2|16.2|18.9|15.1|14.6|17.3|17.4|19.3|16.4|17.2|13.7|13.6
원목 수납장,6550,990,5560,중간,19.5,상승,17.5|17.7|18.6|22.0|19.2|18.7|18.8|21.2|24.4|21.6|23.1|18.8|19.5
원목 트롤리,750,120,630,중간,2.0,하락,2.7|2.5|2.5|2.8|2.4|2.2|2.8|2.7|3.3|2.6|2.8|2.3|2.0
원목 행거,1950,320,1630,높음,5.7,하락,13.5|7.7|6.2|7.0|7.3|9.8|10.9|11.2|11.5|8.2|10.0|6.7|5.7
이동형 행거,220,60,160,높음,0.3,급하락,0.5|1.6|1.6|0.4|0.6|0.9|1.3|1.8|1.3|1.0|1.1|0.7|0.3
전신거울,27410,5710,21700,중간,76.1,하락,97.8|89.7|84.2|88.7|80.1|79.6|86.8|87.7|96.0|88.8|100|81.9|76.1
거울 행거,440,80,360,높음,1.0,유지,1.7|1.1|1.2|1.3|1.2|1.4|1.7|3.4|3.9|2.1|2.0|1.1|1.0
드레스룸 행거,4650,920,3730,높음,13.4,급하락,21.6|18.9|15.6|17.7|18.5|20.2|31.2|18.8|21.0|13.2|15.3|11.8|13.4
디자인 의자,760,210,550,중간,2.9,상승,3.2|2.8|3.1|3.8|3.0|2.7|3.2|2.8|3.5|2.6|3.1|3.4|2.9
바 체어,2490,840,1650,높음,8.3,유지,8.1|8.7|9.1|11.1|9.8|8.5|9.8|8.7|8.1|7.4|8.4|8.6|8.3
